index,html_color', 'r,g,b', 'black', 'gray', 'sliver', 'white', 'maroon', 'red', 'olive', 'yellow', 'green', 'lime', 'teal', 'aqua', 'navy', 'blue', 'orange', 'purple', 'fuchsia', 'brown'
Horror_16.jpg1,#13151a',19,21,26,7.758422373,46.96907149,71.03648662,93.30791246,66.08055555,116.3566185,76.58922339,135.2868197,84.59175749,147.0360539,51.00230977,97.86150781,77.24398872,133.0015152,109.7250471,70.8586579,125.2504584,60.17049979
Horror_16.jpg3,#795c58',121,92,88,43.89918857,17.60683906,38.16122388,59.58801727,50.95184631,92.26301887,56.2374197,108.6338908,76.33857402,131.9495386,43.3693479,79.88271583,85.30288478,133.7098451,80.30434951,65.6047502,111.7930004,37.61216542
Horror_16.jpg2,#dbdbdb',219,219,219,87.40602265,33.82102241,9.701622342,12.59397772,87.0929721,109.9954234,68.13923097,97.40046413,82.8180998,119.781588,49.36174481,50.25323967,109.4656542,144.7114447,83.44007823,90.13365595,118.6746853,69.80660818
Horror_26.jpg2,#dcdcdc',220,220,220,87.76087461,34.17587437,10.0564743,12.23912576,87.34543131,110.106182,68.32499269,97.3656707,82.99512353,119.7811562,49.64366258,50.22829457,109.7072342,144.8469264,83.49387837,90.3609123,118.7561554,70.06091005
Horror_26.jpg3,#49575c',73,87,92,36.54472531,18.68879738,42.18454494,64.31562984,68.32599959,112.1367535,64.0107313,117.8127297,73.10146321,130.8608197,27.78156219,71.08223453,82.47185048,132.6907275,96.47693216,70.94548815,119.3051098,55.04122274
Horror_26.jpg1,#06090c',6,9,12,2.789878217,51.25247006,75.36488425,97.65709494,66.63753754,117.3622672,77.38837603,136.5168125,84.84353349,147.7156152,54.47937725,101.5749557,80.02229946,136.187266,111.0055554,74.12290077,128.8634615,61.25169902
Horror_18.jpg1,#11151e',17,21,30,9.672415212,47.32388357,71.27190157,93.48748395,67.77462511,117.9740831,79.12488767,137.6172258,86.84710224,149.1372979,51.06256874,97.80030377,74.55875305,130.336681,111.9823349,69.12104044,123.5312779,62.32279583
Horror_20.jpg1,#41381b',65,56,27,30.71369505,35.59372399,57.32997972,78.66805246,52.11109653,98.2847079,48.25142969,107.0187218,63.58948805,124.416694,46.65373742,88.97679319,97.51852205,150.4792031,82.22284746,81.897115,132.4632835,37.18474083
Horror_20.jpg2,#dcdcdc',220,220,220,87.76087461,34.17587437,10.0564743,12.23912576,87.34543131,110.106182,68.32499269,97.3656707,82.99512353,119.7811562,49.64366258,50.22829457,109.7072342,144.8469264,83.49387837,90.3609123,118.7561554,70.06091005
Horror_20.jpg3,#0c0a03',12,10,3,3.961885151,50.94008719,75.03337526,97.31634566,64.10127199,114.7849183,73.95418,133.2561425,82.07165321,145.0358632,54.85351171,101.8451742,83.45497733,139.5321733,107.6984358,76.17018059,130.7879972,58.16474409
Horror_2.jpg3,#dad9da',218,217,218,86.79928168,33.21806448,9.114912823,13.21849452,86.53851009,109.65765,68.23437013,97.93867229,83.06737672,120.4162244,49.1258065,50.69670725,108.6069735,143.9192417,83.55566639,89.25448424,117.9163852,69.39629688
Horror_21.jpg3,#70716e',112,113,110,47.504874,6.3800297,30.28908709,52.56148099,64.96196403,104.5027206,56.60048956,107.3802568,70.09296482,124.6875961,29.60714974,66.09030126,89.03861393,136.4732409,85.84826905,73.13107609,117.8950276,49.08564843
Horror_2.jpg2,#451d22',69,29,34,26.59372911,42.17498306,64.30555833,85.7224908,43.78262395,93.47628001,69.9496918,126.6293733,89.02463682,149.1877515,59.65377523,102.6020559,75.81919055,129.152072,93.55739219,59.04126011,111.7276384,41.37293552
